               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.043867,            0.016056,                   0,             0.99277,                   1,               0.995,                0.37,            0.049764,           0.0075568,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.045114,            0.015293,                   0,             0.99238,                   1,               0.995,             0.58041,            0.036378,           0.0081982,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036667,            0.016662,                   0,             0.98947,                   1,               0.995,             0.47466,            0.040209,            0.007749,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.043998,            0.015495,                   0,             0.98744,                   1,               0.995,             0.37425,            0.040246,           0.0079791,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.038855,            0.017208,                   0,             0.98275,                   1,               0.995,             0.70751,            0.030382,           0.0079254,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040022,            0.016537,                   0,             0.98851,                   1,               0.995,             0.38068,            0.043764,           0.0072437,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.035926,            0.014678,                   0,             0.98411,                   1,               0.995,             0.54397,            0.030749,           0.0077112,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.035677,            0.016726,                   0,             0.98907,                   1,               0.995,             0.45263,            0.038533,           0.0070935,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.038333,            0.015613,                   0,             0.98891,                   1,               0.995,             0.68882,            0.027271,           0.0074725,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.037289,            0.014525,                   0,             0.99019,                   1,               0.995,             0.43709,            0.035407,           0.0070093,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.034309,            0.014793,                   0,             0.99083,                   1,               0.995,             0.65194,             0.02605,           0.0071954,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03511,            0.010798,                   0,             0.99208,                   1,               0.995,             0.41567,            0.038903,           0.0066638,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.032527,             0.01218,                   0,             0.98434,                   1,               0.995,             0.72835,            0.025945,           0.0067621,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.035275,            0.012227,                   0,             0.99169,                   1,               0.995,             0.44301,            0.036118,           0.0066492,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.038014,            0.013919,                   0,             0.99049,                   1,               0.995,              0.7012,            0.027537,           0.0065289,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036816,            0.011525,                   0,             0.99116,                   1,               0.995,             0.43747,            0.034608,           0.0064447,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.032286,            0.012372,                   0,             0.96763,                   1,               0.995,             0.69681,             0.02966,           0.0060889,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.035831,            0.010954,                   0,             0.99102,                   1,               0.995,             0.54796,            0.031294,           0.0061542,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.031864,            0.012197,                   0,             0.99012,                   1,               0.995,             0.69278,            0.026302,           0.0060791,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03248,            0.011625,                   0,             0.99078,                   1,               0.995,             0.70322,            0.024984,           0.0060272,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.032949,            0.011101,                   0,             0.99055,                   1,               0.995,             0.65525,             0.02531,           0.0059534,                   0,            0.004357,            0.004357,            0.004357
                  59,              0.0299,           0.0098541,                   0,             0.99049,                   1,               0.995,             0.73939,            0.023837,           0.0058502,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030938,            0.010922,                   0,             0.98312,                   1,               0.995,             0.64212,            0.029641,           0.0055902,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.032206,            0.009721,                   0,             0.99036,                   1,               0.995,             0.72764,            0.022355,           0.0056384,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.030155,            0.011084,                   0,             0.99112,                   1,               0.995,             0.52765,            0.030031,           0.0055243,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.028905,            0.010765,                   0,             0.98948,                   1,               0.995,             0.68993,            0.027089,           0.0053827,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.032036,            0.010612,                   0,             0.98954,                   1,               0.995,             0.72385,            0.023741,           0.0054834,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02714,            0.010978,                   0,             0.99078,                   1,               0.995,             0.63472,            0.029168,           0.0051984,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.029418,           0.0086809,                   0,             0.99063,                   1,               0.995,             0.76818,            0.019635,           0.0053839,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.027296,           0.0090637,                   0,             0.99049,                   1,               0.995,             0.64121,            0.027109,           0.0051306,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.030396,            0.010898,                   0,              0.9906,                   1,               0.995,             0.76031,            0.017289,           0.0052655,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.027486,           0.0092218,                   0,             0.99045,                   1,               0.995,              0.6518,            0.025771,           0.0050018,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.029025,           0.0076664,                   0,             0.99066,                   1,               0.995,             0.71487,            0.020505,           0.0051038,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.029947,            0.010177,                   0,             0.99085,                   1,               0.995,             0.78532,            0.020007,           0.0050391,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.029105,           0.0090537,                   0,             0.99134,                   1,               0.995,             0.84715,            0.017118,           0.0049976,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023875,           0.0075436,                   0,             0.99133,                   1,               0.995,             0.74161,            0.025353,           0.0047412,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.030226,           0.0083175,                   0,             0.99104,                   1,               0.995,             0.82456,            0.018003,           0.0047791,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.024314,           0.0077982,                   0,             0.99149,                   1,               0.995,             0.75665,            0.021355,           0.0048761,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.026025,           0.0090487,                   0,             0.99164,                   1,               0.995,             0.82458,             0.01683,           0.0048468,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.024314,           0.0087877,                   0,             0.99167,                   1,               0.995,             0.74884,             0.01966,           0.0048688,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.027199,           0.0073862,                   0,             0.99171,                   1,               0.995,             0.80883,            0.015997,           0.0047888,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.025083,            0.008654,                   0,             0.99184,                   1,               0.995,              0.7461,            0.020125,            0.004787,                   0,            0.002278,            0.002278,            0.002278
